Day,Week Day,Phone,Computer
3/21/2022,Monday,1:59,6:20
3/24/2022,Thursday,3:22,3:01
3/26/2022,Saturday,1:12,1:13
3/28/2022,Monday,1:01,0:00
3/31/2022,Thursday,4:22,0:00
4/2/2022,Saturday,3:38,0:18
4/4/2022,Monday,4:58,5:12
4/7/2022,Thursday,3:58,3:11
4/9/2022,Saturday,2:04,0:00
4/11/2022,Monday,4:53,7:13
4/14/2022,Thursday,3:03,5:19
4/16/2022,Saturday,3:09,0:15
4/18/2022,Monday,3:55,9:12
4/21/2022,Thursday,1:04,6:02
4/23/2022,Saturday,3:45,1:54
4/25/2022,Monday,0:54,8:23
4/28/2022,Thursday,2:21,6:22
4/30/2022,Saturday,4:22,0:21